5
L0;First Floor
T0;L0;Flooring;Flooring Installer;3,50;*
T1;L0;Wood Framing;Carpenter;3,00;T0
T2;L0;Glass Installation;Glazier;2,00;T1
T3;L0;Sewage;Plumber;3,00;T2
T4;L0;Glass Installation;Glazier;2,00;T3
L1;Second Floor
T0;L1;Heating/AC;HVAC Tech;2,00;*
T1;L1;Interior Walls;Painter;2,50;T0
T2;L1;Interior Walls;Painter;2,50;T1
T3;L1;Piping;Roofing Mechanic;2,00;T2
T4;L1;Glass Installation;Glazier;2,00;T3
L2;Ground Level
T0;L2;Piping;Roofing Mechanic;2,00;*
T1;L2;Interior Walls;Painter;2,50;T0
T2;L2;Insulation;Insulation Worker;1,50;T1
T3;L2;Sewage;Plumber;3,00;T2
T4;L2;Sewage;Plumber;3,00;T3
L3;Second Floor
T0;L3;Piping;Roofing Mechanic;2,00;*
T1;L3;Finishing;Cement/Concrete Finisher;2,00;T0
T2;L3;Electricity;Electrician;1,50;T1
T3;L3;Glass Installation;Glazier;2,00;T2
T4;L3;Finishing;Cement/Concrete Finisher;2,00;T3
L4;Ground Level
T0;L4;Finishing;Cement/Concrete Finisher;2,00;*
T1;L4;Wood Framing;Carpenter;3,00;T0
T2;L4;Glass Installation;Glazier;2,00;T1
T3;L4;Flooring;Flooring Installer;3,50;T2
T4;L4;Glass Installation;Glazier;2,00;T3
10
Insulation Worker;1
Painter;3
Roofing Mechanic;3
Cement/Concrete Finisher;3
Plumber;3
Flooring Installer;2
Electrician;1
Glazier;6
HVAC Tech;1
Carpenter;2
