5
L0;Third Floor
T0;L0;Finishing;Cement/Concrete Finisher;2,00;*
T1;L0;Piping;Roofing Mechanic;2,00;T0
T2;L0;Flooring;Flooring Installer;3,50;T1
T3;L0;Sewage;Plumber;3,00;T2
T4;L0;Sewage;Plumber;3,00;T3
L1;Ground Level
T0;L1;Insulation;Insulation Worker;1,50;*
T1;L1;Flooring;Flooring Installer;3,50;T0
T2;L1;Interior Walls;Painter;2,50;T1
T3;L1;Interior Walls;Painter;2,50;T2
T4;L1;Glass Installation;Glazier;2,00;T3
L2;Ground Level
T0;L2;Piping;Roofing Mechanic;2,00;*
T1;L2;Electricity;Electrician;1,50;T0
T2;L2;Insulation;Insulation Worker;1,50;T1
T3;L2;Heating/AC;HVAC Tech;2,00;T2
T4;L2;Glass Installation;Glazier;2,00;T3
L3;Third Floor
T0;L3;Piping;Roofing Mechanic;2,00;*
T1;L3;Flooring;Flooring Installer;3,50;T0
T2;L3;Piping;Roofing Mechanic;2,00;T1
T3;L3;Interior Walls;Painter;2,50;T2
T4;L3;Insulation;Insulation Worker;1,50;T3
L4;Fourth Floor
T0;L4;Interior Walls;Painter;2,50;*
T1;L4;Electricity;Electrician;1,50;T0
T2;L4;Finishing;Cement/Concrete Finisher;2,00;T1
T3;L4;Wood Framing;Carpenter;3,00;T2
T4;L4;Heating/AC;HVAC Tech;2,00;T3
